prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier,cumalative_prod,reserves,remaining_oil
ALBUSKJELL,1979,0.531,0.652,0.060,0.0,1.2429999999999999,0.0,43437,0.531,7.4,6.869000000000001
ALBUSKJELL,1980,1.442,1.7790000000000001,0.208,0.0,3.428,0.0,43437,1.9729999999999999,7.4,5.4270000000000005
ALBUSKJELL,1981,1.426,2.249,0.268,0.0,3.943,0.0,43437,3.399,7.4,4.001
ALBUSKJELL,1982,0.953,1.9980000000000002,0.251,0.0,3.202,0.0,43437,4.352,7.4,3.048
ALBUSKJELL,1983,0.6970000000000001,1.655,0.253,0.0,2.605,0.0,43437,5.049,7.4,2.351
ALBUSKJELL,1984,0.462,1.183,0.169,0.0,1.814,0.0,43437,5.511,7.4,1.8890000000000002
ALBUSKJELL,1985,0.35700000000000004,1.026,0.157,0.0,1.54,0.0,43437,5.868,7.4,1.532
ALBUSKJELL,1986,0.285,0.946,0.129,0.0,1.36,0.0,43437,6.1530000000000005,7.4,1.2469999999999999
ALBUSKJELL,1987,0.21600000000000003,0.778,0.106,0.0,1.1,0.0,43437,6.369000000000001,7.4,1.0309999999999997
ALBUSKJELL,1988,0.17600000000000002,0.613,0.096,0.0,0.884,0.0,43437,6.545000000000001,7.4,0.8549999999999995
ALBUSKJELL,1989,0.142,0.456,0.067,0.0,0.665,0.0,43437,6.687000000000001,7.4,0.7129999999999992
ALBUSKJELL,1990,0.109,0.33899999999999997,0.046,0.0,0.493,0.0,43437,6.796000000000001,7.4,0.6039999999999992
ALBUSKJELL,1991,0.091,0.271,0.031,0.0,0.39299999999999996,0.0,43437,6.887000000000001,7.4,0.512999999999999
ALBUSKJELL,1992,0.087,0.266,0.027,0.0,0.38,0.0,43437,6.974000000000001,7.4,0.42599999999999927
ALBUSKJELL,1993,0.096,0.309,0.033,0.0,0.43700000000000006,0.0,43437,7.070000000000001,7.4,0.3299999999999992
ALBUSKJELL,1994,0.081,0.264,0.028,0.0,0.373,0.0,43437,7.151000000000002,7.4,0.24899999999999878
ALBUSKJELL,1995,0.07400000000000001,0.23600000000000002,0.024,0.0,0.335,0.0,43437,7.225000000000001,7.4,0.17499999999999893
ALBUSKJELL,1996,0.054000000000000006,0.218,0.021,0.0,0.293,0.0,43437,7.279000000000002,7.4,0.12099999999999866
ALBUSKJELL,1997,0.046,0.192,0.020,0.0,0.258,0.0,43437,7.325000000000002,7.4,0.0749999999999984
ALBUSKJELL,1998,0.03,0.106,0.012,0.0,0.147,0.0,43437,7.355000000000002,7.4,0.04499999999999815
ALVE,2009,0.259,0.9,0.313,0.0,1.472,0.003,4444332,0.259,2.0,1.741
ALVE,2010,0.244,0.8390000000000001,0.289,0.0,1.3719999999999999,0.0,4444332,0.503,2.0,1.4969999999999999
ALVE,2011,0.318,0.747,0.270,0.0,1.335,0.002,4444332,0.821,2.0,1.179
ALVE,2012,0.243,0.505,0.187,0.0,0.935,0.0,4444332,1.064,2.0,0.9359999999999999
ALVE,2013,0.136,0.318,0.115,0.0,0.569,0.002,4444332,1.2000000000000002,2.0,0.7999999999999998
ALVE,2014,0.185,0.536,0.182,0.0,0.903,0.005,4444332,1.3850000000000002,2.0,0.6149999999999998
ALVE,2015,0.152,0.45899999999999996,0.159,0.0,0.77,0.001,4444332,1.5370000000000001,2.0,0.46299999999999986
ALVE,2016,0.146,0.446,0.155,0.0,0.747,0.001,4444332,1.683,2.0,0.31699999999999995
ALVE,2017,0.061,0.23,0.080,0.0,0.37,0.001,4444332,1.744,2.0,0.256
ALVHEIM,2008,2.3,0.146,0.000,0.0,2.4459999999999997,0.001,2845712,2.3,47.1,44.800000000000004
ALVHEIM,2009,4.973,0.445,0.000,0.0,5.419,0.377,2845712,7.273,47.1,39.827
ALVHEIM,2010,4.57,0.43700000000000006,0.000,0.0,5.007,0.34,2845712,11.843,47.1,35.257000000000005
ALVHEIM,2011,3.8560000000000003,0.45799999999999996,0.000,0.0,4.314,0.935,2845712,15.699,47.1,31.401000000000003
ALVHEIM,2012,4.013,0.619,0.000,0.0,4.632,2.1109999999999998,2845712,19.712,47.1,27.388
ALVHEIM,2013,3.489,0.599,0.000,0.0,4.0889999999999995,2.171,2845712,23.201,47.1,23.899
ALVHEIM,2014,3.16,0.5770000000000001,0.000,0.0,3.737,3.898,2845712,26.361,47.1,20.739
ALVHEIM,2015,2.582,0.415,0.000,0.0,2.9960000000000004,4.6419999999999995,2845712,28.943,47.1,18.157
ALVHEIM,2016,3.326,0.51,0.000,0.0,3.8360000000000003,4.431,2845712,32.269,47.1,14.831000000000003
ALVHEIM,2017,1.66,0.215,0.000,0.0,1.875,1.609,2845712,33.928999999999995,47.1,13.171000000000006
ATLA,2012,0.038,0.046,0.000,0.0,0.085,0.0,21106284,0.038,0.3,0.262
ATLA,2013,0.07200000000000001,0.075,0.000,0.0,0.147,0.0,21106284,0.11000000000000001,0.3,0.18999999999999997
ATLA,2014,0.035,0.242,0.000,0.0,0.27699999999999997,0.0,21106284,0.14500000000000002,0.3,0.15499999999999997
ATLA,2015,0.027000000000000003,0.315,0.000,0.0,0.342,0.0,21106284,0.17200000000000001,0.3,0.12799999999999997
ATLA,2016,0.022000000000000002,0.523,0.000,0.0,0.546,0.004,21106284,0.194,0.3,0.10599999999999998
ATLA,2017,0.013000000000000001,0.084,0.000,0.0,0.09699999999999999,0.0,21106284,0.20700000000000002,0.3,0.09299999999999997
